M. No.		Mission Name	Mission Description	Order	Portal Name	Portal URL
14	Any order	MD 2018: Palma, La Misericòrdia	La Misericòrdia is a cultural center, library and gallery, part of the Consell de Mallorca.	1	La Figura de l'esperit	https://ingress.com/intel?ll=39.575118,2.647284&z=17&pll=39.575118,2.647284
14				2	Escultura de Mujer	https://ingress.com/intel?ll=39.575165,2.647659&z=17&pll=39.575165,2.647659
14				3	UII Vertical	https://ingress.com/intel?ll=39.574992,2.647564&z=17&pll=39.574992,2.647564
14				4	La Misericordia	https://ingress.com/intel?ll=39.574828,2.647947&z=17&pll=39.574828,2.647947
14				5	Fuente de Las Ramblas	https://ingress.com/intel?ll=39.574721,2.648295&z=17&pll=39.574721,2.648295
14				6	Cap Blanc	https://ingress.com/intel?ll=39.574546,2.64815&z=17&pll=39.574546,2.64815
						
15	Any order	MD 2018: Palma, La Rambla	The Rambla is one of the most popular streets in Palma. Now home to florist's, sa Riera used to flow here.	1	Las Ramblas	https://ingress.com/intel?ll=39.574301,2.64867&z=17&pll=39.574301,2.64867
15				2	Fuente Bodega La Rambla	https://ingress.com/intel?ll=39.57326,2.649639&z=17&pll=39.57326,2.649639
15				3	Iglesia de Sant Teresa de Jesús	https://ingress.com/intel?ll=39.573365,2.649946&z=17&pll=39.573365,2.649946
15				4	Convento de las Carmelitas	https://ingress.com/intel?ll=39.573168,2.650157&z=17&pll=39.573168,2.650157
15				5	Art by Artifex	https://ingress.com/intel?ll=39.572522,2.650641&z=17&pll=39.572522,2.650641
15				6	Lugar de encuentro V	https://ingress.com/intel?ll=39.572363,2.650789&z=17&pll=39.572363,2.650789
						
16	Any order	MD 2018: Palma, Gran Hotel	The quintessential modernist building of Palma, now an exhibition center. Very near we can find the Teatre Principal, that dates back from 1667. Picture by islikemint.	1	Teatro Principal	https://ingress.com/intel?ll=39.571702,2.650689&z=17&pll=39.571702,2.650689
16				2	Diosa Teatro Principal	https://ingress.com/intel?ll=39.571422,2.650451&z=17&pll=39.571422,2.650451
16				3	La Caixa Forum	WAYPOINT
16				4	Forn des Teatre	https://ingress.com/intel?ll=39.571431,2.650137&z=17&pll=39.571431,2.650137
16				5	Gran Hotel	WAYPOINT
16				6	Gran Hotel	https://ingress.com/intel?ll=39.571634,2.649912&z=17&pll=39.571634,2.649912
						
17	Any order	MD 2018: Palma, Plaça des Mercat	This square is right in the modernist center of the city. The modernist building Casasayas is found here. Picture by Antoni Oliver.	1	Tribunal Superior de Justicia	https://ingress.com/intel?ll=39.571351,2.6496&z=17&pll=39.571351,2.6496
17				2	Edificio Casasayas	https://ingress.com/intel?ll=39.571216,2.649231&z=17&pll=39.571216,2.649231
17				3	Aparicion de Santa Catalina Tomàs	https://ingress.com/intel?ll=39.571076,2.64867&z=17&pll=39.571076,2.64867
17				4	Plaza del Mercat	WAYPOINT
17				5	Estatua Antoni Maura	https://ingress.com/intel?ll=39.571384,2.649095&z=17&pll=39.571384,2.649095
17				6	Forn Fondo	https://ingress.com/intel?ll=39.571577,2.648619&z=17&pll=39.571577,2.648619
						
18	Any order	MD 2018: Palma, Sant Nicolau	In this area we can find many centers of modern and contemporary art.	1	Església de Sant Nicolau	https://ingress.com/intel?ll=39.570646,2.648296&z=17&pll=39.570646,2.648296
18				2	Chopin Escultura	https://ingress.com/intel?ll=39.570526,2.648083&z=17&pll=39.570526,2.648083
18				3	Cercles	https://ingress.com/intel?ll=39.570121,2.648447&z=17&pll=39.570121,2.648447
18				4	Cola de Pescado	https://ingress.com/intel?ll=39.569905,2.64819&z=17&pll=39.569905,2.64819
18				5	Antique Mural	https://ingress.com/intel?ll=39.570067,2.649006&z=17&pll=39.570067,2.649006
18				6	Escudo Estrella	https://ingress.com/intel?ll=39.570288,2.648964&z=17&pll=39.570288,2.648964
						
19	Any order	MD 2018: Palma, Jaume III	With the name of James III, the last ruler of independent Mallorca, this street is one of the commercial arteries of Palma. Picture by Antoni Oliver.	1	Mural Almudaina	https://ingress.com/intel?ll=39.571806,2.645652&z=17&pll=39.571806,2.645652
19				2	Hotel Almudaina	https://ingress.com/intel?ll=39.571905,2.64531&z=17&pll=39.571905,2.64531
19				3	Mural Almudaina II	https://ingress.com/intel?ll=39.571973,2.645024&z=17&pll=39.571973,2.645024
19				4	Mosaico Virgen y Monos	https://ingress.com/intel?ll=39.572145,2.644244&z=17&pll=39.572145,2.644244
19				5	Formes Jaume III	https://ingress.com/intel?ll=39.572463,2.643659&z=17&pll=39.572463,2.643659
19				6	Pavo Real	https://ingress.com/intel?ll=39.572569,2.643108&z=17&pll=39.572569,2.643108
19				7	Mural Roses i Mans	https://ingress.com/intel?ll=39.572451,2.642624&z=17&pll=39.572451,2.642624
19				8	Placa Puente Sa Riera	https://ingress.com/intel?ll=39.572676,2.642113&z=17&pll=39.572676,2.642113
						
20	Any order	MD 2018: Palma, Es Baluard	Once a fishermen neighbourhood, today home to the museum of modern and contemporary art Es Baluard. Picture by José Luis Estarellas Aguilera.	1	Upside Down Church Art	https://ingress.com/intel?ll=39.571175,2.64219&z=17&pll=39.571175,2.64219
20				2	Palomas	https://ingress.com/intel?ll=39.570842,2.642517&z=17&pll=39.570842,2.642517
20				3	Monument de Pere Bonet	https://ingress.com/intel?ll=39.570644,2.641725&z=17&pll=39.570644,2.641725
20				4	Baluarte	https://ingress.com/intel?ll=39.570785,2.641488&z=17&pll=39.570785,2.641488
20				5	Restos Arqueológicos Sant Pere	https://ingress.com/intel?ll=39.570346,2.641855&z=17&pll=39.570346,2.641855
20				6	Es Baluard Museum	WAYPOINT
						
21	Any order	MD 2018: Palma, Baluard Art	A selection of the art exhibited in the terraces of the museum of modern and contemporary art Es Baluard. Picture by almudena martinez.	1	Betty Gold	https://ingress.com/intel?ll=39.57017,2.641013&z=17&pll=39.57017,2.641013
21				2	La Colonna del Viggiatore	https://ingress.com/intel?ll=39.570084,2.641253&z=17&pll=39.570084,2.641253
21				3	Bague	https://ingress.com/intel?ll=39.569981,2.640977&z=17&pll=39.569981,2.640977
21				4	Carta Evolutio	https://ingress.com/intel?ll=39.569849,2.641181&z=17&pll=39.569849,2.641181
21				5	Hillargia	https://ingress.com/intel?ll=39.569811,2.641433&z=17&pll=39.569811,2.641433
21				6	Escultura Es Bou	https://ingress.com/intel?ll=39.569726,2.640935&z=17&pll=39.569726,2.640935
21				7	Pechotes	https://ingress.com/intel?ll=39.569784,2.640704&z=17&pll=39.569784,2.640704
						
22	Any order	MD 2018: Palma, Sa Feixina	This is a tranquil park next to Es Baluard. Sa Riera flows into the sea here now, after being moved from its original course in Es Born. Picture by Carme Sànchez.	1	Ciclos	https://ingress.com/intel?ll=39.571484,2.641311&z=17&pll=39.571484,2.641311
22				2	Parc sa Faixina	https://ingress.com/intel?ll=39.571106,2.641175&z=17&pll=39.571106,2.641175
22				3	Guitarra número 3	https://ingress.com/intel?ll=39.570745,2.640737&z=17&pll=39.570745,2.640737
22				4	Pep Canyelles	https://ingress.com/intel?ll=39.570457,2.639907&z=17&pll=39.570457,2.639907
22				5	Fuente Faixina	https://ingress.com/intel?ll=39.570186,2.639916&z=17&pll=39.570186,2.639916
22				6	Antoni Socias	https://ingress.com/intel?ll=39.570234,2.640241&z=17&pll=39.570234,2.640241
						
23	Any order	MD 2018: Palma, Sa Llonja	The former fish market, now a exhibition center and the Consolat de la Mar, building of the Government of the Balearic Islands. Picture by J4um3.	1	Monument Palma	https://ingress.com/intel?ll=39.568808,2.642959&z=17&pll=39.568808,2.642959
23				2	Monumento a Ruben Dario	https://ingress.com/intel?ll=39.568825,2.643235&z=17&pll=39.568825,2.643235
23				3	Cañon Consolat de Mar	https://ingress.com/intel?ll=39.568616,2.643649&z=17&pll=39.568616,2.643649
23				4	Capella Consolat de Mar	https://ingress.com/intel?ll=39.568733,2.64391&z=17&pll=39.568733,2.64391
23				5	Sa Llonja	https://ingress.com/intel?ll=39.568273,2.644211&z=17&pll=39.568273,2.644211
23				6	Justitia de Ramon	https://ingress.com/intel?ll=39.567243,2.645121&z=17&pll=39.567243,2.645121
						
24	Any order	MD 2018: Palma, Parc de la Mar	Walk around the Parc de la Mar, just in front of the cathedral, which used to reflect on the sea and can now be admired from this park. Picture by Antoni Oliver.	1	Rellotge de Sol Azimutal	https://ingress.com/intel?ll=39.566877,2.645847&z=17&pll=39.566877,2.645847
24				2	Monument	https://ingress.com/intel?ll=39.566664,2.646105&z=17&pll=39.566664,2.646105
24				3	Hacia el Sur	https://ingress.com/intel?ll=39.566977,2.64618&z=17&pll=39.566977,2.64618
24				4	Font del Parc de la Mar	https://ingress.com/intel?ll=39.566327,2.6468&z=17&pll=39.566327,2.6468
24				5	Miró Wall	https://ingress.com/intel?ll=39.565931,2.647291&z=17&pll=39.565931,2.647291
24				6	Parc de la Mar	https://ingress.com/intel?ll=39.56604,2.647663&z=17&pll=39.56604,2.647663
